time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-10-22,5644.0,5674.5,5625.25,5669.25,2146.5,2177.0,2127.75,2171.75,long_file_only,False,2149.75,5647.25,22.0,-3.25,0.010233748110245378,-0.0015118036981044307,0.010233748110245466,8.847089727481716e-17,44.0,440.0
2007-10-23,5673.75,5718.5,5673.75,5709.5,2176.25,2221.0,2176.25,2212.0,long_file_only,False,2171.75,5669.25,40.25,4.5,0.018533440773569703,0.002072061701392886,0.018533440773569776,7.28583859910259e-17,80.5,805.0
2007-10-24,5704.5,5706.75,5651.5,5700.5,2207.0,2209.25,2154.0,2203.0,long_file_only,False,2212.0,5709.5,-9.0,-5.0,-0.00406871609403255,-0.0022603978300180833,-0.004068716094032587,-3.729655473350135e-17,-18.0,-180.0
2007-10-25,5701.0,5717.5,5656.75,5690.75,2203.5,2220.0,2159.25,2193.25,long_file_only,False,2203.0,5700.5,-9.75,0.5,-0.00442578302315025,0.00022696323195642307,-0.00442578302315022,2.949029909160572e-17,-19.5,-195.0
2007-10-26,5697.5,5717.5,5685.5,5704.75,2200.0,2220.0,2188.0,2207.25,long_file_only,False,2193.25,5690.75,14.0,6.75,0.006383221247007865,0.0030776245298073635,0.006383221247007853,-1.214306433183765e-17,28.0,280.0
2007-10-29,5705.0,5727.75,5701.75,5713.0,2207.5,2230.25,2204.25,2215.5,long_file_only,False,2207.25,5704.75,8.25,0.25,0.0037376826367652057,0.00011326311020500623,0.003737682636765216,1.0408340855860843e-17,16.5,165.0
2007-10-30,5713.0,5730.25,5702.25,5715.25,2215.5,2232.75,2204.75,2217.75,long_file_only,False,2215.5,5713.0,2.25,0.0,0.001015572105619499,0.0,0.0010155721056195333,3.426078865054194e-17,4.5,45.0
2007-10-31,5715.25,5750.5,5708.0,5750.0,2217.75,2253.0,2210.5,2252.5,long_file_only,False,2217.75,5715.25,34.75,0.0,0.015669033930785708,0.0,0.01566903393078567,-3.8163916471489756e-17,69.5,695.0
2007-11-01,5750.0,5753.75,5705.25,5713.0,2252.5,2256.25,2207.75,2215.5,long_file_only,False,2252.5,5750.0,-37.0,0.0,-0.016426193118756937,0.0,-0.016426193118756927,1.0408340855860843e-17,-74.0,-740.0
2007-11-02,5711.5,5732.0,5689.5,5721.0,2214.0,2234.5,2192.0,2223.5,long_file_only,False,2215.5,5713.0,8.0,-1.5,0.003610923042202663,-0.0006770480704129993,0.003610923042202563,-1.0018028073766061e-16,16.0,160.0
2007-11-05,5720.0,5722.25,5688.75,5710.25,2222.5,2224.75,2191.25,2212.75,long_file_only,False,2223.5,5721.0,-10.75,-1.0,-0.004834720035979312,-0.00044974139869574995,-0.00483472003597929,2.2551405187698492e-17,-21.5,-215.0
2007-11-06,5709.75,5733.5,5696.5,5731.0,2212.25,2236.0,2199.0,2233.5,long_file_only,False,2212.75,5710.25,20.75,-0.5,0.00937747147215004,-0.00022596316800361542,0.009377471472149956,-8.326672684688674e-17,41.5,415.0
2007-11-07,5730.5,5730.75,5675.25,5678.5,2233.0,2233.25,2177.75,2181.0,long_file_only,False,2233.5,5731.0,-52.5,-0.5,-0.02350570852921424,-0.00022386389075442132,-0.023505708529214187,5.204170427930421e-17,-105.0,-1050.0
2007-11-08,5672.5,5677.5,5578.5,5603.0,2175.0,2180.0,2081.0,2105.5,long_file_only,False,2181.0,5678.5,-75.5,-6.0,-0.03461714809720312,-0.002751031636863824,-0.034617148097203065,5.551115123125783e-17,-151.0,-1510.0
2007-11-09,5604.25,5612.75,5534.75,5539.25,2106.75,2115.25,2037.25,2041.75,long_file_only,False,2105.5,5603.0,-63.75,1.25,-0.03027784374257896,0.0005936832106388032,-0.030277843742578914,4.5102810375396984e-17,-127.5,-1275.0
2007-11-12,5538.5,5549.25,5484.0,5487.0,2041.0,2051.75,1986.5,1989.5,long_file_only,False,2041.75,5539.25,-52.25,-0.75,-0.025590792212562753,-0.00036733194563487204,-0.025590792212562774,-2.0816681711721685e-17,-104.5,-1045.0
2007-11-13,5490.0,5572.25,5479.75,5564.25,1992.5,2074.75,1982.25,2066.75,long_file_only,False,1989.5,5487.0,77.25,3.0,0.038828851470218646,0.0015079165619502387,0.03882885147021864,-6.938893903907228e-18,154.5,1545.0
2007-11-14,5564.75,5599.25,5534.5,5555.0,2067.25,2101.75,2037.0,2057.5,long_file_only,False,2066.75,5564.25,-9.25,0.5,-0.004475625982823273,0.00024192572880125802,-0.00447562598282325,2.2551405187698492e-17,-18.5,-185.0
2007-11-15,5553.75,5561.0,5513.0,5530.75,2056.25,2063.5,2015.5,2033.25,long_file_only,False,2057.5,5555.0,-24.25,-1.25,-0.011786148238153098,-0.0006075334143377885,-0.011786148238153049,4.85722573273506e-17,-48.5,-485.0
2007-11-16,5532.75,5558.25,5511.5,5552.75,2035.25,2060.75,2014.0,2055.25,long_file_only,False,2033.25,5530.75,22.0,2.0,0.010820115578507317,0.0009836468707733923,0.010820115578507261,-5.551115123125783e-17,44.0,440.0
