rule,date,equity,pre_rebalance_leverage,post_rebalance_leverage,contracts_fractional,rebalanced
Monthly,2013-08-28,2.312486540975508,3.0295883630086666,3.0295883630086666,0.0011416739695516277,False
Monthly,2013-08-29,2.361369088068691,2.987420938769526,2.987420938769526,0.0011416739695516277,False
Monthly,2013-08-30,2.3248355210430387,3.0186522131618516,3.0,0.0011346195807921127,True
Monthly,2013-09-03,2.3543356301436336,2.9749397590361446,2.9749397590361446,0.0011346195807921127,False
Monthly,2013-09-04,2.449076365139775,2.898540653231411,2.898540653231411,0.0011346195807921127,False
Monthly,2013-09-05,2.448509055349379,2.898980537534755,2.898980537534755,0.0011346195807921127,False
Monthly,2013-09-06,2.4519129140917553,2.8963442850532166,2.8963442850532166,0.0011346195807921127,False
Monthly,2013-09-09,2.5316963244688964,2.836889194410295,2.836889194410295,0.0011346195807921127,False
Monthly,2013-09-10,2.572368543573263,2.8076929177106047,2.8076929177106047,0.0011346195807921127,False
Monthly,2013-09-11,2.56272427713653,2.81449578460102,2.81449578460102,0.0011346195807921127,False
Monthly,2013-09-12,2.557051179232569,2.818521442091167,2.818521442091167,0.0011346195807921127,False
Monthly,2013-09-13,2.561414367730919,2.8152706709896176,2.8152706709896176,0.0011346195807921127,False
Monthly,2013-09-16,2.5383334546640786,2.831929879386054,2.831929879386054,0.0011346195807921127,False
Monthly,2013-09-17,2.5905259553805156,2.7891083181302747,2.7891083181302747,0.0011346195807921127,False
Monthly,2013-09-18,2.676599382559902,2.731421562924298,2.731421562924298,0.0011346195807921127,False
Monthly,2013-09-19,2.7004263937565365,2.7161444936950554,2.7161444936950554,0.0011346195807921127,False
Monthly,2013-09-20,2.664278078221466,2.73958181126052,2.73958181126052,0.0011346195807921127,False
Monthly,2013-09-23,2.6472587845095843,2.750765626743514,2.750765626743514,0.0011346195807921127,False
Monthly,2013-09-24,2.656903050946317,2.7444105396933582,2.7444105396933582,0.0011346195807921127,False
Monthly,2013-09-25,2.626835632055326,2.764377499854387,2.764377499854387,0.0011346195807921127,False
Monthly,2013-09-26,2.685835850256516,2.7256191157667162,2.7256191157667162,0.0011346195807921127,False
Monthly,2013-09-27,2.679028132771763,2.7300041116847225,2.7300041116847225,0.0011346195807921127,False
Monthly,2013-09-30,2.647258784509584,2.7507656267435143,3.0,0.001237422305006038,True
Monthly,2013-10-01,2.738009660339651,2.933557283650273,2.933557283650273,0.001237422305006038,False
Monthly,2013-10-02,2.7182109034595543,2.947640823129865,2.947640823129865,0.001237422305006038,False
Monthly,2013-10-03,2.6309726309566286,3.0122210543595025,3.0122210543595025,0.001237422305006038,False
Monthly,2013-10-04,2.7107863696295182,2.952975188590049,2.952975188590049,0.001237422305006038,False
Monthly,2013-10-07,2.637778453634162,3.0070292537876604,3.0070292537876604,0.001237422305006038,False
Monthly,2013-10-08,2.5035181335410073,3.114663541089076,3.114663541089076,0.001237422305006038,False
Monthly,2013-10-09,2.457975997600489,3.15399773977894,3.15399773977894,0.001237422305006038,False
Monthly,2013-10-10,2.6085427302391904,3.029820508766924,3.029820508766924,0.001237422305006038,False
Monthly,2013-10-11,2.6873272242249358,2.9704649354327337,2.9704649354327337,0.001237422305006038,False
Monthly,2013-10-14,2.7436299391027106,2.9300285326018893,2.9300285326018893,0.001237422305006038,False
Monthly,2013-10-15,2.7250686045276202,2.9431745889153245,2.9431745889153245,0.001237422305006038,False
Monthly,2013-10-16,2.78303385890057,2.9025492382153644,2.9025492382153644,0.001237422305006038,False
Monthly,2013-10-17,2.8746031094710167,2.841944347285286,2.841944347285286,0.001237422305006038,False
Monthly,2013-10-18,2.976526743933332,2.7787187545073873,2.7787187545073873,0.001237422305006038,False
Monthly,2013-10-21,3.006224879253477,2.761147005090904,2.761147005090904,0.001237422305006038,False
Monthly,2013-10-22,3.0124119907785074,2.7575298328827778,2.7575298328827778,0.001237422305006038,False
Monthly,2013-10-23,2.971577054713308,2.781681526423625,2.781681526423625,0.001237422305006038,False
Monthly,2013-10-24,3.0478312915326082,2.737258195205275,2.737258195205275,0.001237422305006038,False
Monthly,2013-10-25,3.0551041313597374,2.732969694002581,2.732969694002581,0.001237422305006038,False
Monthly,2013-10-28,3.078615155154852,2.719735207177007,2.719735207177007,0.001237422305006038,False
Monthly,2013-10-29,3.0800004245713226,2.7191146122801224,2.7191146122801224,0.001237422305006038,False
Monthly,2013-10-30,3.100417892603922,2.7077935681962475,2.7077935681962475,0.001237422305006038,False
Monthly,2013-10-31,3.0428777554211415,2.740087562267752,3.0,0.0013547986444439632,True
Monthly,2013-11-01,3.0401681581322535,3.001782531194296,3.001782531194296,0.0013547986444439632,False
Monthly,2013-11-04,3.065909332376689,2.984975695978789,2.984975695978789,0.0013547986444439632,False
Monthly,2013-11-05,3.072005926276687,2.9810363836824694,2.9810363836824694,0.0013547986444439632,False
Monthly,2013-11-06,3.0623130555819844,2.987153919685446,2.987153919685446,0.0013547986444439632,False
Monthly,2013-11-07,2.9087761211331697,3.092196795454814,3.092196795454814,0.0013547986444439632,False
Monthly,2013-11-08,3.0198696099775746,3.01523008120059,3.01523008120059,0.0013547986444439632,False
Monthly,2013-11-11,3.003393739385291,3.0261322673305293,3.0261322673305293,0.0013547986444439632,False
Monthly,2013-11-12,3.0311671115963925,3.0075676275275267,3.0075676275275267,0.0013547986444439632,False
Monthly,2013-11-13,3.13277700992969,2.9424532763037643,2.9424532763037643,0.0013547986444439632,False
Monthly,2013-11-14,3.155326207195656,2.928724622093963,2.928724622093963,0.0013547986444439632,False
Monthly,2013-11-15,3.1715837909289832,2.918837952180998,2.918837952180998,0.0013547986444439632,False
Monthly,2013-11-18,3.0835218790401258,2.97363780290447,2.97363780290447,0.0013547986444439632,False
Monthly,2013-11-19,3.0604903020845784,2.9884903220936376,2.9884903220936376,0.0013547986444439632,False
Monthly,2013-11-20,3.036103926484587,3.004462131045405,3.004462131045405,0.0013547986444439632,False
Monthly,2013-11-21,3.12870850295627,2.9449805158125906,2.9449805158125906,0.0013547986444439632,False
Monthly,2013-11-22,3.1810593363728854,2.9131247638288147,2.9131247638288147,0.0013547986444439632,False
Monthly,2013-11-25,3.2054457119728768,2.898570101777883,2.898570101777883,0.0013547986444439632,False
Monthly,2013-11-26,3.2548958624950814,2.8697259908520403,2.8697259908520403,0.0013547986444439632,False
Monthly,2013-11-27,3.3129812423047125,2.836791852757302,2.836791852757302,0.0013547986444439632,False
Monthly,2013-11-29,3.3634355306840056,2.809544127957434,3.0,0.0014466389379286044,True
Monthly,2013-12-02,3.350927644997849,3.007312574072941,3.007312574072941,0.0014466389379286044,False
Monthly,2013-12-03,3.330460489776125,3.0194955345909786,3.0194955345909786,0.0014466389379286044,False
Monthly,2013-12-04,3.3499901154381613,3.0077223679673044,3.0077223679673044,0.0014466389379286044,False
Monthly,2013-12-05,3.3391403234036967,3.0142460141892706,3.0142460141892706,0.0014466389379286044,False
Monthly,2013-12-06,3.4121955897690914,2.9711209132914087,2.9711209132914087,0.0014466389379286044,False
Monthly,2013-12-09,3.454148118969021,2.947180565389903,2.947180565389903,0.0014466389379286044,False
Monthly,2013-12-10,3.4463880476626856,2.9517178190114257,2.9517178190114257,0.0014466389379286044,False
Monthly,2013-12-11,3.3152506886498623,3.028766694035948,3.028766694035948,0.0014466389379286044,False
